date,ticker,field,value
2025-02-17,SANB11 BZ Equity,PX_LAST,24.372
2025-02-18,SANB11 BZ Equity,PX_LAST,24.491
2025-02-19,SANB11 BZ Equity,PX_LAST,24.016
2025-02-20,SANB11 BZ Equity,PX_LAST,24.044
2025-02-21,SANB11 BZ Equity,PX_LAST,23.879
2025-02-24,SANB11 BZ Equity,PX_LAST,24.016
2025-02-25,SANB11 BZ Equity,PX_LAST,24.19
2025-02-26,SANB11 BZ Equity,PX_LAST,24.235
2025-02-27,SANB11 BZ Equity,PX_LAST,23.989
2025-02-28,SANB11 BZ Equity,PX_LAST,23.003
2025-03-05,SANB11 BZ Equity,PX_LAST,23.331
2025-03-06,SANB11 BZ Equity,PX_LAST,23.121
2025-03-07,SANB11 BZ Equity,PX_LAST,23.687
2025-03-10,SANB11 BZ Equity,PX_LAST,23.35
2025-03-11,SANB11 BZ Equity,PX_LAST,22.856
2025-03-12,SANB11 BZ Equity,PX_LAST,22.884
2025-03-13,SANB11 BZ Equity,PX_LAST,23.14
2025-03-14,SANB11 BZ Equity,PX_LAST,23.961
2025-03-17,SANB11 BZ Equity,PX_LAST,24.5
2025-03-18,SANB11 BZ Equity,PX_LAST,24.381
2025-03-19,SANB11 BZ Equity,PX_LAST,24.628
2025-03-20,SANB11 BZ Equity,PX_LAST,24.235
2025-03-21,SANB11 BZ Equity,PX_LAST,24.537
2025-03-24,SANB11 BZ Equity,PX_LAST,24.409
2025-03-25,SANB11 BZ Equity,PX_LAST,24.719
2025-03-26,SANB11 BZ Equity,PX_LAST,24.884
2025-03-27,SANB11 BZ Equity,PX_LAST,25.039
2025-03-28,SANB11 BZ Equity,PX_LAST,24.774
2025-03-31,SANB11 BZ Equity,PX_LAST,24.4
2025-04-01,SANB11 BZ Equity,PX_LAST,24.381
2025-04-02,SANB11 BZ Equity,PX_LAST,24.792
2025-04-03,SANB11 BZ Equity,PX_LAST,25.139
2025-04-04,SANB11 BZ Equity,PX_LAST,24.308
2025-04-07,SANB11 BZ Equity,PX_LAST,24.199
2025-04-08,SANB11 BZ Equity,PX_LAST,23.834
2025-04-09,SANB11 BZ Equity,PX_LAST,24.427
2025-04-10,SANB11 BZ Equity,PX_LAST,24.062
2025-04-11,SANB11 BZ Equity,PX_LAST,24.308
2025-04-14,SANB11 BZ Equity,PX_LAST,24.61
2025-04-15,SANB11 BZ Equity,PX_LAST,24.591
2025-04-16,SANB11 BZ Equity,PX_LAST,24.765
2025-04-17,SANB11 BZ Equity,PX_LAST,24.719
2025-04-22,SANB11 BZ Equity,PX_LAST,24.934
2025-04-23,SANB11 BZ Equity,PX_LAST,25.064
2025-04-24,SANB11 BZ Equity,PX_LAST,26.019
2025-04-25,SANB11 BZ Equity,PX_LAST,25.843
2025-04-28,SANB11 BZ Equity,PX_LAST,26.176
2025-04-29,SANB11 BZ Equity,PX_LAST,26.325
2025-04-30,SANB11 BZ Equity,PX_LAST,27.363
2025-05-02,SANB11 BZ Equity,PX_LAST,26.751
2025-05-05,SANB11 BZ Equity,PX_LAST,26.603
2025-05-06,SANB11 BZ Equity,PX_LAST,26.371
2025-05-07,SANB11 BZ Equity,PX_LAST,26.464
2025-05-08,SANB11 BZ Equity,PX_LAST,27.557
2025-05-09,SANB11 BZ Equity,PX_LAST,27.798
2025-05-12,SANB11 BZ Equity,PX_LAST,27.595
2025-05-13,SANB11 BZ Equity,PX_LAST,28.095
2025-05-14,SANB11 BZ Equity,PX_LAST,28.188
2025-05-15,SANB11 BZ Equity,PX_LAST,28.206
2025-05-16,SANB11 BZ Equity,PX_LAST,27.91
2025-05-19,SANB11 BZ Equity,PX_LAST,28.327
2025-05-20,SANB11 BZ Equity,PX_LAST,28.299
2025-05-21,SANB11 BZ Equity,PX_LAST,27.734
2025-05-22,SANB11 BZ Equity,PX_LAST,27.511
2025-05-23,SANB11 BZ Equity,PX_LAST,27.743
2025-05-26,SANB11 BZ Equity,PX_LAST,27.993
2025-05-27,SANB11 BZ Equity,PX_LAST,28.03
2025-05-28,SANB11 BZ Equity,PX_LAST,27.715
2025-05-29,SANB11 BZ Equity,PX_LAST,27.632
2025-05-30,SANB11 BZ Equity,PX_LAST,27.557
2025-06-02,SANB11 BZ Equity,PX_LAST,27.354
2025-06-03,SANB11 BZ Equity,PX_LAST,27.557
2025-06-04,SANB11 BZ Equity,PX_LAST,26.909
2025-06-05,SANB11 BZ Equity,PX_LAST,26.825
2025-06-06,SANB11 BZ Equity,PX_LAST,26.631
2025-06-09,SANB11 BZ Equity,PX_LAST,26.649
2025-06-10,SANB11 BZ Equity,PX_LAST,26.723
2025-06-11,SANB11 BZ Equity,PX_LAST,27.965
2025-06-12,SANB11 BZ Equity,PX_LAST,27.724
2025-06-13,SANB11 BZ Equity,PX_LAST,27.622
2025-06-16,SANB11 BZ Equity,PX_LAST,27.891
2025-06-17,SANB11 BZ Equity,PX_LAST,27.947
2025-06-18,SANB11 BZ Equity,PX_LAST,27.882
2025-06-20,SANB11 BZ Equity,PX_LAST,27.316
2025-06-23,SANB11 BZ Equity,PX_LAST,26.992
2025-06-24,SANB11 BZ Equity,PX_LAST,27.483
2025-06-25,SANB11 BZ Equity,PX_LAST,27.103
2025-06-26,SANB11 BZ Equity,PX_LAST,27.159
2025-06-27,SANB11 BZ Equity,PX_LAST,27.02
2025-06-30,SANB11 BZ Equity,PX_LAST,27.52
2025-07-01,SANB11 BZ Equity,PX_LAST,28.077
2025-07-02,SANB11 BZ Equity,PX_LAST,27.233
2025-07-03,SANB11 BZ Equity,PX_LAST,27.261
2025-07-04,SANB11 BZ Equity,PX_LAST,27.177
